codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_elemento_despesa,tipo_fonte,codigo_fonte,valor_atual_categoria_economica,valor_orcado_categoria_economica
048,201500,01,01  ,01,031,0001,2,001,0000,31900300,1,00       ,0,98000
048,201500,02,02  ,04,122,0037,2,002,0000,31900400,1,00       ,0,30000
048,201500,04,04  ,04,122,0037,2,004,0000,31901100,1,00       ,0,460000
048,201500,06,06  ,04,122,0037,2,006,0000,31900100,1,00       ,0,53000
048,201500,07,07  ,08,241,0121,2,009,0000,31901300,1,00       ,0,792
048,201500,08,08  ,12,361,0231,1,005,0000,33903000,1,00       ,0,20000
048,201500,09,09  ,10,122,0037,2,036,0000,31900400,1,21       ,0,1700000
048,201500,10,10  ,04,122,0037,2,053,0000,31901100,1,00       ,0,810000
048,201500,11,11  ,17,544,0412,1,027,0000,44905100,1,00       ,0,50000
048,201500,15,15  ,12,361,0231,1,030,0000,44905100,2,13       ,0,60000
048,201500,16,16  ,04,122,0037,2,061,0000,31901100,1,00       ,0,200000
048,201500,17,17  ,13,392,0307,1,034,0000,44905100,1,00       ,0,50000
048,201500,20,20  ,18,122,0037,2,066,0000,31901100,1,00       ,0,400000
048,201500,21,21  ,08,243,0131,2,068,0000,33504100,1,00       ,0,25000
048,201500,22,22  ,08,244,0137,2,071,0000,33903000,1,00       ,0,15000
048,201500,23,23  ,04,122,0037,2,072,0000,33903000,1,00       ,0,20000
048,201500,24,24  ,08,244,0137,2,073,0000,33903000,1,00       ,0,42300
048,201500,26,26  ,23,691,0491,2,074,0000,31901100,1,00       ,0,200000
048,201500,27,27  ,18,541,0401,2,075,0000,33903000,1,00       ,0,20000
048,201500,28,28  ,08,122,0037,2,076,0000,31900400,1,00       ,0,25000
048,201500,29,29  ,04,182,0107,2,079,0000,31901100,1,00       ,0,162000
048,201500,30,30  ,04,124,0042,2,080,0000,31901100,1,00       ,0,186566
048,201500,31,31  ,04,122,0037,2,081,0000,31900100,1,00       ,0,53000
048,201500,32,32  ,13,392,0307,1,042,0000,44905100,1,00       ,0,50000
048,201500,33,33  ,27,122,0037,2,086,0000,31901100,1,00       ,0,182482
048,201500,34,34  ,04,123,0037,2,087,0000,31901100,1,00       ,0,1092021
048,201500,35,35  ,13,392,0307,1,047,0000,33903900,1,00       ,0,10000
