codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_elemento_despesa,tipo_fonte,codigo_fonte,valor_atual_categoria_economica,valor_orcado_categoria_economica
048,201800,01,01  ,01,031,0001,2,001,0000,31900300,1,01       ,0,121216
048,201800,02,02  ,04,122,0037,2,002,0000,31900400,1,01       ,0,5000
048,201800,04,04  ,04,122,0037,2,004,0000,31901100,1,01       ,0,415000
048,201800,07,07  ,04,122,0037,2,125,0000,31900400,1,01       ,0,5000
048,201800,08,08  ,12,361,0231,1,005,0000,33903000,2,02       ,0,30000
048,201800,09,09  ,04,122,0037,2,124,0000,31900400,1,01       ,0,8000
048,201800,10,10  ,04,122,0037,2,053,0000,31901100,1,01       ,0,2800000
048,201800,11,11  ,20,122,0037,2,056,0000,31901100,1,01       ,0,430000
048,201800,15,15  ,12,361,0231,1,030,0000,44905100,2,14       ,0,150000
048,201800,16,16  ,04,122,0037,2,061,0000,31901100,1,01       ,0,60000
048,201800,20,20  ,18,122,0037,2,066,0000,31901100,1,01       ,0,450000
048,201800,21,21  ,08,243,0131,2,068,0000,33504100,1,01       ,0,30000
048,201800,22,22  ,08,244,0137,2,071,0000,31900400,1,01       ,0,10000
048,201800,23,23  ,04,122,0037,2,072,0000,31900400,1,01       ,0,39000
048,201800,24,24  ,08,244,0137,2,073,0000,31900400,1,01       ,0,10000
048,201800,26,26  ,23,691,0491,2,074,0000,31901100,1,01       ,0,220000
048,201800,27,27  ,18,541,0401,2,075,0000,33903000,2,27       ,0,20000
048,201800,28,28  ,08,122,0037,2,076,0000,31900400,1,01       ,0,100000
048,201800,29,29  ,04,182,0107,2,079,0000,31901100,1,01       ,0,100000
048,201800,30,30  ,04,124,0042,2,080,0000,31901100,1,01       ,0,400000
048,201800,31,31  ,04,122,0037,2,081,0000,31900100,1,01       ,0,70000
048,201800,32,32  ,13,392,0307,1,034,0000,44905100,2,22       ,0,80000
048,201800,33,33  ,27,122,0037,2,086,0000,31901100,1,01       ,0,160000
048,201800,34,34  ,04,123,0037,2,087,0000,31901100,1,01       ,0,2000000
048,201800,35,35  ,04,122,0037,2,122,0000,31901100,1,01       ,0,800000
048,201800,36,36  ,12,122,0037,2,121,0000,31900400,2,02       ,0,100000
048,201800,37,37  ,10,122,0037,2,036,0000,31900400,2,03       ,0,50000
